DAY;N10D;GPRD;GPRD_ACT;GPRD_THREAT;date;GPRD_MA30;GPRD_MA7;event;var_name;var_label
19850101;216;230,04;275,20;153,03;01/01/1985;230,04;230,04;;DAY;DAY
19850102;315;115,68;146,77;87,44;02/01/1985;172,86;172,86;;N10D;Number of articles (10 recent newspapers, 1985-)
19850103;374;97,43;158,94;29,46;03/01/1985;147,71;147,71;;GPRD;Daily GPR (Index: 1985:2019=100)
19850104;421;157,37;156,88;157,03;04/01/1985;150,13;150,13;;GPRD_ACT;Daily GPR Acts (Index: 1985:2019=100)
19850105;285;81,36;92,70;77,32;05/01/1985;136,37;136,37;;GPRD_THREAT;Daily GPR Threats (Index: 1985:2019=100)
19850106;396;167,30;166,79;208,67;06/01/1985;141,53;141,53;;date;Date
19850107;346;105,31;57,27;143,30;07/01/1985;136,36;136,36;;GPRD_MA30;30 day moving average of Daily GPR
19850108;379;87,40;34,85;130,82;08/01/1985;130,24;115,98;;GPRD_MA7;7 day moving average of Daily GPR
19850109;382;121,40;103,74;129,79;09/01/1985;129,25;116,80;;event;Major event label
19850110;424;140,63;77,89;181,90;10/01/1985;130,39;122,97;;;
19850111;454;94,85;130,93;72,81;11/01/1985;127,16;114,04;;;
19850112;312;95,55;42,34;123,60;12/01/1985;124,53;116,07;;;
19850113;397;91,78;16,64;138,77;13/01/1985;122,01;105,28;;;
19850114;360;211,64;183,47;229,54;14/01/1985;128,41;120,47;;;
19850115;375;97,17;105,68;102,83;15/01/1985;126,33;121,86;;;
19850116;405;106,33;114,16;95,22;16/01/1985;125,08;119,71;;;
19850117;424;54,69;62,31;38,98;17/01/1985;120,94;107,43;;;
19850118;417;111,21;63,35;132,11;18/01/1985;120,40;109,77;;;
19850119;321;51,60;41,15;68,65;19/01/1985;116,78;103,49;;;
19850120;383;77,84;68,98;86,30;20/01/1985;114,83;101,50;;;
19850121;359;138,41;183,98;76,73;21/01/1985;115,95;91,04;;;
19850122;320;51,76;61,92;34,43;22/01/1985;113,03;84,55;;;
19850123;398;124,85;82,97;138,42;23/01/1985;113,55;87,19;;;
19850124;396;83,65;50,04;97,38;24/01/1985;112,30;91,33;;;
19850125;472;70,18;13,99;105,04;25/01/1985;110,62;85,47;;;
19850126;306;54,13;43,17;72,01;26/01/1985;108,44;85,83;;;
19850127;416;63,70;47,63;66,21;27/01/1985;106,79;83,81;;;
19850128;359;101,50;36,80;138,11;28/01/1985;106,60;78,54;;;
19850129;345;76,81;114,87;47,90;29/01/1985;105,57;82,12;;;
19850130;410;16,16;0,00;26,87;30/01/1985;102,59;66,59;;;
19850131;416;111,48;111,14;119,19;31/01/1985;98,64;70,57;;;
19850201;435;106,61;106,28;88,65;01/02/1985;98,34;75,77;;;
19850202;333;119,37;99,17;132,35;02/02/1985;99,07;85,09;;;
19850203;443;112,16;104,36;124,36;03/02/1985;97,56;92,01;;;
19850204;371;80,36;89,01;89,09;04/02/1985;97,53;88,99;;;
19850205;322;174,89;123,07;239,52;05/02/1985;97,78;103,00;;;
19850206;400;124,22;49,54;165,27;06/02/1985;98,41;118,44;;;
19850207;430;130,96;76,80;153,74;07/02/1985;99,86;121,23;;;
19850208;448;147,88;103,20;172,16;08/02/1985;100,75;127,12;;;
19850209;321;123,83;144,03;120,13;09/02/1985;100,19;127,76;;;
19850210;445;133,99;89,05;185,70;10/02/1985;101,49;130,88;;;
19850211;357;139,18;111,00;154,31;11/02/1985;102,95;139,28;;;
19850212;366;153,86;126,32;150,52;12/02/1985;105,01;136,28;;;
19850213;423;109,64;140,53;78,14;13/02/1985;101,61;134,19;;;
19850214;413;80,21;63,97;80,03;14/02/1985;101,05;126,94;;;
19850215;434;83,96;60,87;88,85;15/02/1985;100,30;117,81;;;
19850216;315;63,10;62,90;52,47;16/02/1985;100,58;109,13;;;
19850217;388;68,30;51,07;70,99;17/02/1985;99,15;99,75;;;
19850218;283;128,76;163,37;77,87;18/02/1985;101,73;98,26;;;
19850219;364;100,11;72,58;136,21;19/02/1985;102,47;90,58;;;
19850220;359;64,59;36,80;92,07;20/02/1985;100,01;84,15;;;
19850221;387;85,60;102,40;56,94;21/02/1985;101,13;84,91;;;
19850222;441;157,74;104,84;174,89;22/02/1985;102,23;95,46;;;
19850223;314;200,44;126,21;228,08;23/02/1985;106,12;115,08;;;
19850224;434;91,59;76,09;114,24;24/02/1985;106,84;118,40;;;
19850225;397;100,13;99,82;97,14;25/02/1985;108,37;114,31;;;
19850226;344;125,18;115,20;112,10;26/02/1985;110,42;117,90;;;
19850227;439;120,73;75,22;150,59;27/02/1985;111,06;125,92;;;
19850228;412;144,72;144,28;133,71;28/02/1985;113,33;134,36;;;
19850301;452;146,57;131,51;134,07;01/03/1985;117,67;132,77;;;
19850302;288;149,53;68,80;191,28;02/03/1985;118,94;125,49;;;
19850303;426;77,76;15,50;116,39;03/03/1985;117,98;123,52;;;
19850304;401;82,61;115,29;68,69;04/03/1985;116,75;121,02;;;
19850305;386;137,31;102,66;171,26;05/03/1985;117,59;122,75;;;
19850306;407;179,06;178,51;148,89;06/03/1985;120,88;131,08;;;
19850307;425;132,50;108,78;129,62;07/03/1985;119,47;129,33;;;
19850308;433;91,80;106,77;63,61;08/03/1985;118,39;121,51;;;
19850309;294;90,14;67,40;112,43;09/03/1985;117,03;113,03;;;
19850310;444;119,37;104,13;124,08;10/03/1985;116,08;118,97;;;
19850311;383;129,74;155,20;115,07;11/03/1985;116,27;125,70;;;
19850312;384;232,91;344,00;143,46;12/03/1985;119,57;139,36;;;
19850313;434;183,18;228,27;177,71;13/03/1985;121,04;139,95;;;
19850314;448;177,46;221,14;122,97;14/03/1985;121,82;146,37;;;
19850315;431;138,34;76,62;191,73;15/03/1985;122,78;153,02;;;
19850316;306;194,86;107,92;252,05;16/03/1985;126,60;167,98;;;
19850317;466;42,65;28,35;47,29;17/03/1985;125,23;157,02;;;
19850318;373;124,33;123,95;132,93;18/03/1985;127,27;156,25;;;
19850319;381;139,11;138,68;144,59;19/03/1985;129,63;142,85;;;
19850320;462;136,23;128,66;143,09;20/03/1985;129,88;136,14;;;
19850321;419;118,59;110,34;157,78;21/03/1985;130,49;127,73;;;
19850322;419;102,78;110,34;78,89;22/03/1985;131,77;122,65;;;
19850323;302;98,72;109,35;91,21;23/03/1985;132,20;108,92;;;
19850324;166;79,82;39,79;132,75;24/03/1985;129,61;114,23;;;
19850325;438;75,63;120,63;37,73;25/03/1985;125,45;107,27;;;
19850326;382;95,39;103,74;72,11;26/03/1985;125,57;101,02;;;
19850327;463;135,94;71,33;166,58;27/03/1985;126,77;100,98;;;
19850328;434;145,02;136,96;165,02;28/03/1985;127,43;104,76;;;
19850329;495;87,00;26,69;122,42;29/03/1985;126,30;102,50;;;
19850330;325;142,70;142,26;152,56;30/03/1985;126,23;108,78;;;
19850331;424;70,31;46,73;77,96;31/03/1985;123,69;107,43;;;
19850401;367;90,26;89,98;90,07;01/04/1985;121,72;109,52;;;
19850402;419;79,06;94,58;92,04;02/04/1985;121,76;107,18;;;
19850403;485;88,79;68,09;124,95;03/04/1985;121,97;100,45;;;
19850404;468;155,72;127,01;188,34;04/04/1985;122,58;101,98;;;
19850405;416;95,55;95,26;79,46;05/04/1985;119,80;103,20;;;
19850406;296;179,06;111,57;204,73;06/04/1985;121,35;108,39;;;
19850407;403;57,54;81,94;41,01;07/04/1985;120,21;106,57;;;
19850408;377;149,37;70,08;204,58;08/04/1985;122,18;115,01;;;
19850409;411;96,72;96,42;80,42;09/04/1985;121,43;117,54;;;
19850410;430;92,44;107,52;76,87;10/04/1985;120,18;118,06;;;
19850411;457;115,98;101,17;120,55;11/04/1985;116,28;112,38;;;
19850412;530;81,25;37,39;103,94;12/04/1985;112,89;110,34;;;
19850413;340;29,23;38,85;16,20;13/04/1985;107,95;88,93;;;
19850414;496;53,43;53,26;44,43;14/04/1985;105,12;88,35;;;
19850415;362;45,75;36,49;45,65;15/04/1985;100,15;73,54;;;
19850416;440;135,51;120,09;150,25;16/04/1985;103,24;79,09;;;
19850417;471;91,43;112,18;70,18;17/04/1985;102,14;78,94;;;
19850418;470;77,53;98,37;58,61;18/04/1985;100,09;73,45;;;
19850419;536;37,08;36,97;30,83;19/04/1985;96,79;67,14;;;
19850420;313;105,83;63,30;123,20;20/04/1985;96,36;78,08;;;
19850421;433;38,25;61,01;25,45;21/04/1985;94,21;75,91;;;
19850422;390;50,96;84,68;28,25;22/04/1985;92,62;76,66;;;
19850423;417;135,04;95,03;145,32;23/04/1985;94,46;76,59;;;
19850424;447;96,34;73,88;110,92;24/04/1985;95,15;77,29;;;
19850425;462;136,23;57,18;178,86;25/04/1985;96,51;85,68;;;
19850426;556;53,62;59,40;49,54;26/04/1985;93,77;88,04;;;
19850427;324;71,57;40,77;102,02;27/04/1985;91,32;83,15;;;
19850428;475;41,84;27,81;46,39;28/04/1985;89,81;83,66;;;
19850429;402;74,16;0,00;123,34;29/04/1985;87,53;86,97;;;
19850430;424;101,56;62,31;116,94;30/04/1985;88,57;82,19;;;
19850501;448;88,73;58,97;122,97;01/05/1985;88,52;81,10;;;
19850502;462;164,91;85,78;214,64;02/05/1985;91,38;85,20;;;
19850503;558;106,86;82,86;118,47;03/05/1985;91,98;92,81;;;
19850504;360;110,42;110,08;122,42;04/05/1985;90,47;98,36;;;
19850505;509;110,64;103,81;108,23;05/05/1985;90,98;108,18;;;
19850506;389;110,70;50,94;155,78;06/05/1985;88,70;113,40;;;
19850507;456;130,76;115,87;144,97;07/05/1985;91,14;117,57;;;
19850508;471;98,46;112,18;116,96;08/05/1985;89,44;118,96;;;
19850509;496;106,86;106,53;99,96;09/05/1985;89,78;110,67;;;
19850510;530;87,50;62,31;93,55;10/05/1985;89,61;107,91;;;
19850511;340;48,71;19,43;64,81;11/05/1985;87,37;99,09;;;
19850512;466;85,30;85,04;94,58;12/05/1985;87,51;95,47;;;
19850513;373;97,69;106,24;73,85;13/05/1985;89,79;93,61;;;
19850514;429;108,10;76,98;141,26;14/05/1985;91,61;90,38;;;
19850515;487;88,43;108,50;67,87;15/05/1985;93,03;88,94;;;
19850516;517;96,11;51,10;127,87;16/05/1985;91,72;87,41;;;
19850517;535;142,41;135,80;164,76;17/05/1985;93,42;95,25;;;
19850518;323;92,30;102,24;85,28;18/05/1985;93,91;101,48;;;
19850519;522;95,19;75,92;116,09;19/05/1985;95,85;102,89;;;
19850520;396;108,75;116,75;97,38;20/05/1985;95,95;104,47;;;
19850521;421;110,16;141,19;78,51;21/05/1985;98,34;104,76;;;
19850522;428;139,31;154,32;128,72;22/05/1985;101,29;112,03;;;
19850523;486;115,87;81,54;147,36;23/05/1985;100,65;114,86;;;
19850524;499;92,94;66,18;110,40;24/05/1985;100,54;107,79;;;
19850525;323;71,79;61,34;68,22;25/05/1985;98,39;104,86;;;
19850526;434;83,96;106,53;63,47;26/05/1985;99,40;103,25;;;
19850527;306;97,43;64,75;108,02;27/05/1985;100,26;101,64;;;
19850528;381;121,72;173,35;57,84;28/05/1985;102,92;103,29;;;
19850529;483;54,87;68,37;57,03;29/05/1985;102,28;91,22;;;
19850530;499;86,30;79,42;88,32;30/05/1985;101,77;87,00;;;
19850531;526;107,06;75,34;136,15;31/05/1985;102,38;89,02;;;
19850601;322;72,01;102,56;34,22;01/06/1985;99,29;89,05;;;
19850602;463;85,85;99,86;59,49;02/06/1985;98,59;89,32;;;
19850603;414;120,02;111,67;106,45;03/06/1985;98,91;92,55;;;
19850604;425;77,94;93,24;51,85;04/06/1985;97,82;86,29;;;
19850605;446;103,98;103,66;86,46;05/06/1985;97,59;93,31;;;
19850606;464;99,95;99,64;94,98;06/06/1985;96,57;95,26;;;
19850607;492;114,46;80,55;134,37;07/06/1985;97,10;96,32;;;
19850608;314;84,40;84,14;70,18;08/06/1985;96,35;98,09;;;
19850609;466;71,09;56,69;70,93;09/06/1985;95,80;95,98;;;
19850610;380;148,19;156,43;144,97;10/06/1985;99,12;100,00;;;
19850611;437;106,12;90,68;100,85;11/06/1985;99,81;104,03;;;
19850612;466;120,84;127,56;106,40;12/06/1985;100,58;106,44;;;
19850613;514;128,89;128,50;107,18;13/06/1985;101,28;110,57;;;
19850614;500;112,63;105,68;110,18;14/06/1985;102,08;110,31;;;
19850615;317;114,95;145,85;121,65;15/06/1985;102,71;114,67;;;
19850616;450;125,14;146,77;97,94;16/06/1985;102,14;122,40;;;
19850617;372;133,57;230,81;59,24;17/06/1985;103,51;120,31;;;
19850618;436;258,32;287,82;265,34;18/06/1985;108,95;142,05;;;
19850619;460;165,63;201,01;203,59;19/06/1985;110,85;148,45;;;
19850620;484;246,39;300,22;204,88;20/06/1985;115,39;165,23;;;
19850621;527;213,71;288,25;125,44;21/06/1985;117,87;179,67;;;
19850622;335;158,21;197,16;180,89;22/06/1985;119,28;185,85;;;
19850623;428;147,05;169,75;180,20;23/06/1985;121,08;188,98;;;
19850624;388;230,51;323,43;170,38;24/06/1985;126,37;202,83;;;
19850625;451;205,66;307,54;146,58;25/06/1985;130,43;195,31;;;
19850626;504;170,89;183,47;185,82;26/06/1985;132,88;196,06;;;
19850627;454;204,30;232,77;194,15;27/06/1985;135,63;190,05;;;
19850628;518;198,24;216,76;223,34;28/06/1985;140,41;187,84;;;
19850629;316;188,69;313,52;104,60;29/06/1985;143,82;192,19;;;
19850630;454;182,41;203,67;206,28;30/06/1985;146,34;197,24;;;
19850701;389;255,47;322,60;254,92;01/07/1985;152,45;200,81;;;
19850702;432;222,37;275,20;242,29;02/07/1985;157,00;203,20;;;
19850703;441;142,72;194,70;87,44;03/07/1985;157,76;199,17;;;
19850704;368;180,03;233,32;179,64;04/07/1985;161,16;195,70;;;
19850705;404;139,39;179,83;177,27;05/07/1985;162,34;187,30;;;
19850706;295;123,52;111,94;130,72;06/07/1985;163,13;177,99;;;
19850707;393;75,86;33,61;98,12;07/07/1985;161,84;162,77;;;
19850708;354;112,29;93,29;124,50;08/07/1985;162,77;142,31;;;
19850709;368;153,03;161,53;149,70;09/07/1985;165,50;132,41;;;
19850710;437;197,09;226,71;163,88;10/07/1985;167,13;140,17;;;
19850711;439;150,91;195,58;112,94;11/07/1985;168,62;136,01;;;
19850712;512;174,69;258,00;107,60;12/07/1985;170,42;141,05;;;
19850713;301;165,08;175,54;201,33;13/07/1985;171,62;146,99;;;
19850714;457;108,73;115,62;96,44;14/07/1985;171,49;151,69;;;
19850715;339;136,80;116,90;130,01;15/07/1985;172,22;155,19;;;
19850716;397;108,47;116,46;97,14;16/07/1985;171,67;148,82;;;
19850717;440;90,34;30,02;125,20;17/07/1985;170,23;133,57;;;
19850718;431;122,97;137,92;115,04;18/07/1985;165,72;129,58;;;
19850719;413;104,27;127,94;80,03;19/07/1985;163,67;119,52;;;
19850720;262;63,22;100,84;21,03;20/07/1985;157,56;104,97;;;
19850721;373;53,29;53,12;44,31;21/07/1985;152,22;97,05;;;
19850722;322;133,74;225,63;51,33;22/07/1985;151,40;96,61;;;
19850723;317;167,20;145,85;191,16;23/07/1985;152,07;105,00;;;
19850724;365;145,21;199,05;120,75;24/07/1985;149,23;112,84;;;
19850725;408;81,19;80,94;94,52;25/07/1985;145,08;106,87;;;
19850726;402;82,40;82,15;82,22;26/07/1985;142,13;103,75;;;
19850727;277;107,63;71,53;119,33;27/07/1985;138,91;110,09;;;
19850728;371;125,00;106,82;133,64;28/07/1985;136,47;120,34;;;
19850729;356;120,96;129,87;123,80;29/07/1985;134,21;118,51;;;
19850730;347;124,10;114,20;111,13;30/07/1985;132,27;112,36;;;
19850731;342;106,54;96,56;96,65;31/07/1985;127,30;106,83;;;
19850801;353;140,76;149,68;124,85;01/08/1985;124,58;115,34;;;
19850802;397;75,10;66,55;97,14;02/08/1985;122,33;114,30;;;
19850803;290;57,11;68,32;37,99;03/08/1985;118,23;107,08;;;
19850804;439;60,37;45,13;62,74;04/08/1985;115,60;97,85;;;
19850805;318;62,50;62,31;51,97;05/08/1985;113,56;89,50;;;
19850806;284;116,64;93,02;135,79;06/08/1985;114,92;88,43;;;
19850807;382;95,39;69,16;100,95;07/08/1985;114,36;86,84;;;
19850808;394;42,04;50,29;41,95;08/08/1985;110,66;72,73;;;
19850809;415;95,79;111,41;79,65;09/08/1985;107,28;75,69;;;
19850810;308;64,53;85,78;35,77;10/08/1985;104,40;76,75;;;
19850811;443;44,87;59,64;49,74;11/08/1985;100,07;74,54;;;
19850812;357;120,63;129,50;108,02;12/08/1985;98,59;82,84;;;
19850813;389;76,64;101,87;56,65;13/08/1985;97,52;77,12;;;
19850814;426;101,09;108,53;77,59;14/08/1985;96,33;77,94;;;
19850815;435;53,31;45,55;50,66;15/08/1985;94,49;79,55;;;
19850816;447;59,29;59,10;49,30;16/08/1985;93,46;74,33;;;
19850817;333;79,58;79,34;66,17;17/08/1985;92,01;76,48;;;
19850818;455;72,80;87,10;72,65;18/08/1985;90,96;80,48;;;
19850819;349;104,41;94,62;110,50;19/08/1985;92,34;78,16;;;
19850820;397;83,44;116,46;55,51;20/08/1985;93,34;79,13;;;
19850821;395;167,72;234,09;125,52;21/08/1985;94,47;88,65;;;
19850822;429;108,10;76,98;115,57;22/08/1985;92,50;96,48;;;
19850823;414;72,01;95,72;39,92;23/08/1985;90,06;98,30;;;
19850824;312;63,70;63,51;52,97;24/08/1985;89,48;96,03;;;
19850825;450;22,08;14,68;24,48;25/08/1985;87,47;88,78;;;
19850826;377;70,29;70,08;58,45;26/08/1985;86,23;83,91;;;
19850827;354;112,29;111,94;93,37;27/08/1985;85,80;88,03;;;
19850828;426;77,76;77,52;77,59;28/08/1985;84,36;75,18;;;
19850829;453;131,63;102,06;133,77;29/08/1985;84,61;78,54;;;
19850830;407;65,11;32,46;81,21;30/08/1985;83,23;77,55;;;
19850831;295;56,15;67,17;37,35;31/08/1985;80,41;76,47;;;
19850901;418;63,40;31,60;79,08;01/09/1985;80,02;82,37;;;
19850902;275;84,32;24,02;120,20;02/09/1985;80,93;84,38;;;
19850903;351;84,94;150,54;15,70;03/09/1985;81,75;80,47;;;
19850904;399;66,42;99,32;27,61;04/09/1985;81,88;78,85;;;
19850905;443;59,82;74,55;37,31;05/09/1985;79,98;68,59;;;
19850906;482;89,34;54,81;102,87;06/09/1985;79,78;72,05;;;
19850907;346;114,89;133,62;79,61;07/09/1985;82,21;80,45;;;
19850908;493;67,19;66,99;55,87;08/09/1985;81,26;80,99;;;
19850909;351;84,94;94,08;78,48;09/09/1985;81,94;81,08;;;
19850910;414;120,02;63,81;146,37;10/09/1985;84,44;86,09;;;
19850911;436;151,95;90,89;176,89;11/09/1985;85,49;98,31;;;
19850912;450;73,61;73,39;73,45;12/09/1985;85,39;100,28;;;
19850913;481;103,30;82,39;114,53;13/09/1985;85,46;102,27;;;
19850914;303;120,26;87,19;145,45;14/09/1985;87,69;103,04;;;
19850915;463;78,70;85,59;59,49;15/09/1985;88,34;104,68;;;
19850916;417;95,33;79,19;92,48;16/09/1985;88,86;106,17;;;
19850917;451;124,86;161,09;109,94;17/09/1985;90,60;106,86;;;
19850918;419;126,49;126,10;118,33;18/09/1985;91,34;103,22;;;
19850919;471;126,59;140,23;105,27;19/09/1985;92,77;110,79;;;
19850920;476;104,39;13,88;162,03;20/09/1985;90,66;110,95;;;
19850921;318;52,08;83,08;17,32;21/09/1985;88,80;101,21;;;
19850922;474;69,89;69,67;69,73;22/09/1985;88,72;99,95;;;
19850923;402;115,36;131,44;95,93;23/09/1985;90,45;102,81;;;
19850924;449;110,66;117,68;110,43;24/09/1985;93,40;100,78;;;
19850925;466;120,84;85,04;130,04;25/09/1985;95,08;99,98;;;
19850926;474;174,71;167,21;174,34;26/09/1985;97,17;106,85;;;
19850927;460;144,02;114,87;155,69;27/09/1985;99,37;112,51;;;
19850928;332;129,71;119,36;132,75;28/09/1985;99,31;123,60;;;
19850929;502;79,18;52,63;98,77;29/09/1985;99,78;124,93;;;
19850930;382;104,06;86,45;115,37;30/09/1985;101,38;123,31;;;
19851001;451;154,24;87,87;183,23;01/10/1985;104,40;129,54;;;
19851002;450;184,03;176,13;171,39;02/10/1985;107,73;138,57;;;
19851003;492;100,99;107,39;78,38;03/10/1985;108,26;128,04;;;
19851004;456;159,82;159,32;169,14;04/10/1985;111,38;130,29;;;
19851005;321;103,20;61,73;154,46;05/10/1985;112,82;126,50;;;
19851006;501;92,57;131,83;65,98;06/10/1985;112,93;128,42;;;
19851007;412;88,44;96,19;80,23;07/10/1985;112,05;126,18;;;
19851008;418;134,72;189,61;92,26;08/10/1985;114,30;123,40;;;
19851009;469;162,45;253,49;82,22;09/10/1985;116,88;120,31;;;
19851010;486;102,24;135,90;79,35;10/10/1985;116,29;120,49;;;
19851011;484;82,13;81,88;79,68;11/10/1985;113,96;109,39;;;
19851012;340;146,14;194,26;97,22;12/10/1985;116,38;115,53;;;
19851013;493;67,19;80,38;67,05;13/10/1985;115,18;111,90;;;
19851014;335;138,44;236,59;32,89;14/10/1985;115,78;119,04;;;
19851015;400;190,47;280,70;110,18;15/10/1985;119,51;127,01;;;
19851016;435;106,61;106,28;113,98;16/10/1985;119,89;119,03;;;
19851017;406;122,39;162,68;67,84;17/10/1985;119,80;121,91;;;
19851018;420;118,31;188,71;39,35;18/10/1985;119,53;127,08;;;
19851019;368;81,01;35,90;104,79;19/10/1985;118,01;117,77;;;
19851020;479;82,99;82,73;80,51;20/10/1985;117,30;120,03;;;
19851021;408;129,90;97,13;135,02;21/10/1985;119,89;118,81;;;
19851022;394;75,67;67,05;83,89;22/10/1985;120,08;102,41;;;
19851023;452;102,60;131,51;97,50;23/10/1985;119,66;101,84;;;
19851024;466;71,09;85,04;47,29;24/10/1985;118,34;94,51;;;
19851025;466;85,30;99,21;82,75;25/10/1985;117,15;89,79;;;
19851026;373;106,57;70,83;118,16;26/10/1985;114,88;93,45;;;
19851027;482;68,73;41,11;91,44;27/10/1985;112,37;91,41;;;
19851028;400;41,41;49,54;27,55;28/10/1985;109,43;78,77;;;
19851029;420;47,32;94,35;39,35;29/10/1985;108,37;74,72;;;
19851030;470;35,24;14,05;46,89;30/10/1985;106,07;65,09;;;
19851031;454;109,45;87,29;109,21;31/10/1985;104,58;70,57;;;
19851101;430;100,15;61,44;115,30;01/11/1985;101,78;72,69;;;
19851102;329;120,82;120,45;117,21;02/11/1985;102,45;74,73;;;
19851103;495;93,69;66,71;100,16;03/11/1985;100,24;78,30;;;
19851104;362;155,56;91,23;182,62;04/11/1985;101,99;94,60;;;
19851105;401;107,39;82,35;109,91;05/11/1985;102,48;103,19;;;
19851106;471;63,30;70,11;46,79;06/11/1985;101,64;107,19;;;
19851107;468;92,02;42,34;117,71;07/11/1985;100,22;104,70;;;
19851108;473;70,03;83,78;58,23;08/11/1985;97,14;100,40;;;
19851109;353;84,46;93,55;62,43;09/11/1985;96,55;95,21;;;
19851110;515;77,19;64,12;74,88;10/11/1985;96,38;92,85;;;
19851111;388;59,76;85,11;28,40;11/11/1985;93,50;79,16;;;
19851112;374;88,57;123,62;73,65;12/11/1985;94,21;76,47;;;
19851113;456;79,91;28,97;108,73;13/11/1985;92,26;78,85;;;
19851114;478;97,02;82,90;92,20;14/11/1985;89,15;79,56;;;
19851115;458;86,79;43,26;120,28;15/11/1985;88,49;81,96;;;
19851116;367;45,13;53,99;45,03;16/11/1985;85,91;76,34;;;
19851117;576;86,26;45,87;105,21;17/11/1985;84,84;77,64;;;
19851118;374;132,86;35,32;191,49;18/11/1985;86,57;88,08;;;
19851119;409;97,19;96,89;94,29;19/11/1985;87,05;89,31;;;
19851120;385;103,25;120,09;71,55;20/11/1985;86,16;92,64;;;
19851121;497;73,32;66,45;66,51;21/11/1985;86,08;89,26;;;
19851122;432;138,02;76,44;191,28;22/11/1985;87,26;96,58;;;
19851123;333;89,53;59,50;99,26;23/11/1985;87,87;102,92;;;
19851124;574;80,79;46,03;95,98;24/11/1985;87,72;102,14;;;
19851125;371;151,79;231,43;89,09;25/11/1985;89,23;104,84;;;
19851126;422;54,95;31,30;65,27;26/11/1985;88,77;98,81;;;
19851127;443;89,73;119,27;49,74;27/11/1985;90,38;96,88;;;
19851128;375;132,50;140,90;132,22;28/11/1985;93,22;105,33;;;
19851129;462;93,21;85,78;119,24;29/11/1985;95,15;98,93;;;
19851130;324;132,91;122,31;136,02;30/11/1985;95,94;105,13;;;
19851201;548;78,58;72,31;80,42;01/12/1985;95,22;104,81;;;
19851202;387;77,04;68,27;71,18;02/12/1985;93,76;94,13;;;
19851203;427;15,52;15,47;12,90;03/12/1985;91,15;88,50;;;
19851204;438;90,76;90,48;88,04;04/12/1985;88,99;88,65;;;
19851205;477;62,50;55,39;57,75;05/12/1985;87,50;78,64;;;
19851206;468;84,94;56,45;105,94;06/12/1985;88,22;77,46;;;
19851207;300;99,38;110,08;73,45;07/12/1985;88,46;72,67;;;
19851208;583;96,59;56,64;113,39;08/12/1985;89,35;75,25;;;
19851209;404;98,39;130,79;54,54;09/12/1985;89,81;78,30;;;
19851210;393;92,72;84,03;98,12;10/12/1985;90,33;89,33;;;
19851211;469;84,76;42,25;105,72;11/12/1985;91,16;88,47;;;
19851212;432;76,68;91,73;76,51;12/12/1985;90,77;90,49;;;
19851213;463;42,93;57,06;23,80;13/12/1985;89,53;84,49;;;
19851214;305;76,03;64,96;90,31;14/12/1985;88,83;81,16;;;
19851215;549;72,41;72,18;70,24;15/12/1985;88,36;77,70;;;
19851216;392;67,60;101,09;28,11;16/12/1985;89,10;73,30;;;
19851217;405;73,61;65,23;68,01;17/12/1985;88,68;70,57;;;
19851218;444;74,61;133,88;24,82;18/12/1985;86,74;69,12;;;
19851219;477;90,28;110,77;69,30;19/12/1985;86,51;71,07;;;
19851220;473;126,06;125,67;116,47;20/12/1985;87,27;82,94;;;
19851221;292;90,76;113,09;56,60;21/12/1985;87,85;85,05;;;
19851222;493;40,32;66,99;11,17;22/12/1985;84,60;80,46;;;
19851223;377;87,87;105,12;102,29;23/12/1985;84,54;83,36;;;
19851224;345;96,02;95,72;79,84;24/12/1985;85,05;86,56;;;
19851225;191;156,09;172,90;173,06;25/12/1985;85,19;98,20;;;
19851226;361;165,17;146,37;152,60;26/12/1985;88,86;108,90;;;
19851227;392;109,86;117,94;84,32;27/12/1985;89,54;106,58;;;
19851228;269;307,86;515,61;163,84;28/12/1985;95,38;137,60;;;
19851229;477;62,50;96,92;46,20;29/12/1985;94,36;140,77;;;
19851230;327;263,38;403,96;185,32;30/12/1985;98,71;165,84;;;
19851231;331;220,17;339,22;116,50;31/12/1985;103,43;183,58;;;
19860101;258;269,63;460,80;192,17;01/01/1986;109,85;199,80;;;
19860102;374;150,57;229,58;73,65;02/01/1986;114,35;197,71;;;
19860103;397;166,88;266,19;124,89;03/01/1986;116,88;205,86;;;
19860104;289;126,08;251,39;114,37;04/01/1986;119,00;179,89;;;
19860105;487;115,63;189,87;113,12;05/01/1986;120,03;187,48;;;
19860106;314;147,69;210,34;105,27;06/01/1986;121,64;170,95;;;
19860107;380;174,35;173,81;217,46;07/01/1986;124,23;164,41;;;
19860108;402;131,84;230,02;150,74;08/01/1986;125,34;144,72;;;
19860109;408;146,14;226,63;148,53;09/01/1986;127,13;144,09;;;
19860110;405;204,48;326,16;231,24;10/01/1986;131,12;149,46;;;
19860111;303;120,26;108,99;181,82;11/01/1986;132,57;148,63;;;
19860112;459;115,47;143,89;132,02;12/01/1986;134,99;148,60;;;
19860113;359;147,64;220,77;122,76;13/01/1986;137,37;148,60;;;
19860114;386;120,14;119,78;128,45;14/01/1986;138,97;140,85;;;
19860115;410;129,27;128,87;134,37;15/01/1986;141,02;140,49;;;
19860116;424;195,32;124,62;298,84;16/01/1986;145,08;147,51;;;
19860117;448;155,28;132,68;184,45;17/01/1986;147,77;140,48;;;
